Id,TIÊU ĐỀ CỦA SÁCH?(Ví dụ: Nhà Giả Kim),TÊN TÁC GIẢ?(Ví dụ: Paulo Coelho),CHỦ ĐỀ?,NHÀ XUẤT BẢN?(Ví dụ: NXB văn học)
512,Luyện thi năng lực nhật ngữ N3,Sasaki Hikoto,Ngoại ngữ,NXB Trẻ
513,Luyện thi năng lực nhật ngữ N3,Sasaki Hikoto,Ngoại ngữ,NXB Trẻ 
514,Nhà lãnh đạo kim cương - 7 bước xây dựng đội ngũ tài năng giúp doanh nghiệp tăng 300% lợi nhuận,Michelle Nguyen,Kỹ năng mềm,NXB thế giới 
515,Luyện thi năng lực nhật ngữ N3 ,Sasaki Hikoto,Ngoại ngữ,NXB Trẻ
516,Ý THIÊN ĐỒ LONG KÝ SỐ 7,KIM DUNG,Văn học - Tiểu thuyết,NXB VĂN HỌC
517,Lâu đài thủy tinh (The Glass Castle),Jeannette Walls,Hồi ký - Tiểu sử - Tự truyện,NXB Văn Hóa Thông Tin
518,Menschen A1.2,"Sandra Evans, Angela Pude, Franz Specht",Ngoại ngữ,Hueber 
519,Mỗi Ngày Tiết Kiệm Một Giờ,Michael Heppell ,Kỹ năng mềm,NXB Trẻ
520,Thời gian thầm lặng ,Hàn vĩnh nguyên,Văn học - Tiểu thuyết,Nxb mũi cà mau
521,Kỷ nguyên hỗn loạn - Những cuộc khám phá trong thế giới mới,Alan Greenspan,Kinh tế - Quản trị,NXB trẻ
522,Luyện thi năng lực nhật ngữ N3,Sasaki Hikoto,Ngoại ngữ,NXB Trẻ
523,Chuyện đông chuyện tây,An Chi,Lịch sử - Địa lý,NXB trẻ
524,đừng bao giờ đi ăn một mình,keith ferrazzi,Kỹ năng mềm,nxb trẻ
525,Lược sử thời gian,Stephen Hawking,Khoa học tự nhiên - Kỹ thuật,NXB trẻ
526,Luyện thi năng lực nhật ngữ N3,Sasaki Hikoto,Ngoại ngữ,NXB Trẻ
527,Những chàng trai xấu tính,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ
528,Lược sử thời gian ,Stephen Hawking,Khoa học tự nhiên - Kỹ thuật,NXB Trẻ
529,quản lý thời gian hiệu quả,patrick forsyth,Kỹ năng mềm,nxb lao động
530,Nghiệp vụ văn thư lưu trữ,Hoàng Lê Minh,Kỹ năng mềm,NXB Văn hóa -Thông tin
531,Tôi thấy hoa vàng trên có xanh,Nguyễn nhật ánh ,Văn học - Tiểu thuyết,Nxb trẻ
532,tảng băng tan,john kotter,Kỹ năng mềm,nxb tổng hợp tphcm
533,Nghiệp vụ thư ký văn phòng,Hoàng Giang,Kỹ năng mềm,NXB Văn hóa - Thông tin
534,tảng băng tan,john kotter,Kỹ năng mềm,nxb tổng hợp tphcm
535,Những người thích khóc,Azit Nexin,Văn học - Tiểu thuyết,NXB Lao Động - Xã Hội
536,Tuyết,Maxence Fermine,Văn học - Tiểu thuyết,NXB Văn Học
537,CHUYỆN ĐÔNG CHUYỆN TÂY,AN CHI,Lịch sử - Địa lý,NXB TRẺ
538,nhân tố enzyme,hiromi shinya,Y học - Sức khỏe - Thể thao,nxb thế giới
539,Work Rules (Quy tắc của Google),Laszlo Bock,Kinh tế - Quản trị,NXB thế giới
540,Kỹ năng lãnh đạo của người Nhật,Masakasu Sugiura,Kỹ năng mềm,NXB Đại học Kinh Tế Quốc Dân
541,Mặt trời nhà Scorta,Laurent Gaude,Văn học - Tiểu thuyết,NXB Hội Nhà Văn
542,Tôi là Bento,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB trẻ
543,nhân tố enzyme,hiromi shinya,Y học - Sức khỏe - Thể thao,nxb thế giới
544,"Professional Certificate in English - Academic Reading, Writing and Listening",Mr. Gerson C. Lapid,Ngoại ngữ,MDIS School of Languages and Education
545,Kỹ năng quản lý dự án hiệu quả,Clydebank Business,Kỹ năng mềm,NXB Phụ nữ
546,Rừng nauy,Haruki murakami,Văn học - Tiểu thuyết,Nxb hội nhà văn
547,Gió lẻ và 9 câu chuyện khác,Nguyễn Ngọc Tư,Văn học - Tiểu thuyết,NXB trẻ
548,nhân tố enzyme,hiromi shinya ,Y học - Sức khỏe - Thể thao,nxb thế giới
549,Giải mã bí ẩn thung lũng Silicon ,Michelle E. Messina và Jonathan C. Bear,Kinh tế - Quản trị,NXB thế giới
550,Cuộc Chia ly của những Vì sao,Trung Trung Đỉnh,Văn học - Tiểu thuyết,NXB Kim Đồng
551,Cọp Trắng,Aravind Adiga,Văn học - Tiểu thuyết,NXB Trẻ
552,Ngày mai không hẹn trước,Debbie Macomber,Văn học - Tiểu thuyết,Nxb Hội nhà văn
553,Cọp Trắng,Aravind Adiga,Văn học - Tiểu thuyết,NXB Trẻ
554,Ký Ức Không Quên,Jonathan Schell,Văn học - Tiểu thuyết,NXB trẻ
555,Có anh trong đời,Debbie Macomber,Văn học - Tiểu thuyết,Nxb hội nhà văn
556,nhân tố enzyme,hiromi shinya,Y học - Sức khỏe - Thể thao,nxb thế giới
557,Nơi Xa ,Văn Linh,Văn học - Tiểu thuyết,NXB Kim Đồng
558,Tâm hồn cao thượng,Nguyễn Khải,Văn học - Tiểu thuyết,NXB trẻ
559,THƠ DẤU ẤN CUỘC ĐỜI,MINH SỬ,Văn học - Tiểu thuyết,Không có
560,nhân tố enzyme - minh hoạ,hiromi shinya,Y học - Sức khỏe - Thể thao,nxb thế giới
561,"Ăn, Cầu Nguyện, Yêu",Elizabeth Gilbert,Hồi ký - Tiểu sử - Tự truyện,NXB Phụ Nữ
562,Business model generation,Alexander osterwalder & yves pigneur,Kinh tế - Quản trị,Nxb lao động
563,Tướng Lâm Kỳ Đạt,Hoàng Văn Bổn,Văn học - Tiểu thuyết,NXB Kim Đồng
564,Con Gái Mỹ,Meg Cabot,Kỹ năng mềm,NXB Văn hóa - Thông tin
565,Trăng nước chương dương,Hà Ân ,Văn học - Tiểu thuyết,NXB Kim Đồng
566,Thơ mang màu sắc Hồ Xuân Hương,Nhiều tác giả,Văn học - Tiểu thuyết,Sở văn hoá thông tin Vĩnh Long
567,Một đời như kẻ tìm đường,Phan Văn Trường,Kinh tế - Quản trị,Nxb Trẻ
568,Business model generation,Alexander osterwalder & yves pigneur,Kinh tế - Quản trị,Nxb lao động
569,Cát cháy,Thanh Quế,Văn học - Tiểu thuyết,NXB Kim Đồng
570,Bởi vì yêu,Guillame Musso,Văn học - Tiểu thuyết,NXB Hội Nhà Văn
571,Một đời quản trị,Phan Văn Trường,Kinh tế - Quản trị,Nxb Trẻ
572,Nửa mặt trời vàng ,Chimamanda Ngozi Adichie,Văn học - Tiểu thuyết,NXB Lao Động
573,Bạn Gái trên đường sự nghiệp,Hoàng Xuân Việt,Kỹ năng mềm,NXB Thanh niên
574,Bad blood (Máu bẩn),John Carreyrou ,Kinh tế - Quản trị,NXB thế giới
575,Mật mã Tây Tạng 2,Hà Mã,Văn học - Tiểu thuyết,NXB Văn Hóa Sài Gòn
576,PHI LÝ TRÍ,DAN ARIELY,Kinh tế - Quản trị,NXB LAO ĐỘNG
577,Sắc lá momiji,Miyamoto Teru,Tâm lý - Giáo dục,NXB Văn Học
578,Tư duy nhanh và chậm,Daniel Kahneman,Kinh tế - Quản trị,Nxb Thế giới
579,Tam Quốc Diễn Nghĩa,Thành Quân Úc,Văn học - Tiểu thuyết,NXB Lao Động Xã Hội
580,Mãi đừng xa tôi,Kazuo Ishiguro,Văn học - Tiểu thuyết,NXB Văn học
581,AMRITA,BANANA YOSHIMOTO,Văn học - Tiểu thuyết,NXB HỘI NHÀ VĂN
582,Sherlock Holmes toàn tập 2,Arthur Conan Doyle,Văn học - Tiểu thuyết,NXB Văn Hóa Thông Tin
583,The one thing,Jay Papasan và Gary Keller,Kinh tế - Quản trị,NXB Lao Động - Xã Hội
584,bước chậm lại giữa thế gian vội,Hae Min,Triết học - Tôn giáo - Tâm linh,NXB Hội Nhà Văn
585,Đẹp & Buồn,Yasunari Kawabata,Văn học - Tiểu thuyết,NXB Văn hóa Sài Gòn
586,Tuyết hoa và Cây quạt bí mật,Lisa See,Văn học - Tiểu thuyết,NXB Hội Nhà Văn
587,Android Application Development,Android ATC team,Khoa học tự nhiên - Kỹ thuật,ATC Advanced Training Consultants
588,Nghĩ kiểu Zuck thành công như Facebook,Ekaterina Walter,Kinh tế - Quản trị,NXB phụ nữ
589,Sống lưng của jesse,Yamanda Amy,Văn học - Tiểu thuyết,NXB Văn Hóa Sài Gòn
590,THE SECRET,RHONDA BRYNE,Kỹ năng mềm,NXB LAO ĐỘNG
591,Nhẫn Thạch ,Atiq Rahimi,Văn học - Tiểu thuyết,NXB Hội Nhà Văn
592,Sức mạnh của việc đặt câu hỏi Tại Sao,C.Richard Weylman,Kỹ năng mềm,NXB Công Thương
593,Lãnh đạo phong cách Barack Obama,Shel Leanne,Kinh tế - Quản trị,NXB thế giới
594,Try! N4 Japanese Language Proficiency,Nhóm tác giả,Ngoại ngữ,Ask Publishing
595,Sanshiro,Natsume Soseki,Văn học - Tiểu thuyết,NXB Văn Học
596,yêu đi rồi khóc,Hamlet Trương ,Nghệ thuật - Giải trí,NXB Khoa học
597,Những ngày tháng chỉ muốn rong chơi,Nguyễn Phước Huy,Văn học - Tiểu thuyết,NXB Văn học
598,Ba ơi mình đi đâu,Jean-Louis Fournier,Tâm lý - Giáo dục,NXB Hội Nhà Văn
599,Quảy gánh băng đồng ra thế giới ,Nguyễn Phi Vân,Văn học - Tiểu thuyết,NXB Trẻ
600,Ở NGƯỠNG CỦA CUỘC ĐỜI,LÝ LAN,Hồi ký - Tiểu sử - Tự truyện,NXB VĂN NGHỆ
601,Kỹ năng quản lý dự án hiệu quả,Clydebank Business,Kinh tế - Quản trị,NXB phụ nữ
602,Bay xuyên những tầng mây,Hà Nhân ,Văn học - Tiểu thuyết,NXB Văn Học
603,Người tính ,Marguerite Duras,Văn học - Tiểu thuyết,NXB Hội Nhà Văn
604,Sống như cây rừng,Hà Nhân,Văn học - Tiểu thuyết,NXB Văn Học
605,"Hành Trình ""Xương Thủy Tinh""",Nguyễn Thị Thu Sương,Văn học - Tiểu thuyết,NXB Trẻ
606,Tảng Băng Tan (Our Iceberg Is Melting),John Kotter và Holger Rathgeber,Other,NXB Tổng Hợp TP.HCM
607,Sững sờ & run rẩy.     ,Amelie Nothbomb,Văn học - Tiểu thuyết,NXB Văn Học
608,CHUYỆN ĐÔNG CHUYỆN TÂY,AN CHI,Lịch sử - Địa lý,NXB TRẺ
609,Nhện Tuyết,Jenny Nimmo,Văn học - Tiểu thuyết,NXB Trẻ
610,Sử dụng tiếng Anh trong Email cá nhân và công việc,Lê Huy Lâm,Kỹ năng mềm,NXB Tổng Hợp Thành Phố Hồ Chí Minh
611,bán khống,Michael lewis,Kinh tế - Quản trị,nxb kinh tế quốc dân
612,Việc hôm nay chớ để ngày mai,Richard Templar,Kỹ năng mềm,NXB Lao động - Xã hội
613,Cẩm Nang Hướng Dẫn Mua Lại & Sát Nhập,Timothy J. Galphin & Mark Herndon,Kinh tế - Quản trị,NXB Tổng Hợp TP. HCM
614,Những chuyện kể của Beedle người hát rong,J.K.Rowling,Văn học - Tiểu thuyết,NXB Trẻ
615,Chuyện con mèo dạy hải âu bay,Luis Seplulveda,Văn học - Tiểu thuyết,NXB hội nhà văn
616,Ý THIÊN ĐỒ LONG KÝ SỐ 1,KIM DUNG,Văn học - Tiểu thuyết,NXB VĂN HỌC
617,Xa xôi thôn ngựa già,Ma văn kháng,Văn học - Tiểu thuyết,Nxb phụ nữ
618,Phải trái đúng sai,michael sandel,Kỹ năng mềm,nxb trẻ
619,Ý THIÊN ĐỒ LONG KÝ SỐ 2,KIM DUNG,Văn học - Tiểu thuyết,NXB VĂN HỌC
620,The Balanced Scorecard: Thẻ Điểm Cân Bằng,Robert S.Kaplan & David P.Norton,Kinh tế - Quản trị,NXB Trẻ
621,Cửa hành cho những kẻ chán sống,Jean Teulé,Kỹ năng mềm,NXB Hội Nhà Văn
622,Đôn Kihote Nhà quý tộc tài ba xứ Mantra,Miguel De Cervantes Saavedra,Văn học - Tiểu thuyết,NXB Văn học
623,Chuyện con mèo dạy hải âu bay,Luis sepulveda,Văn học - Tiểu thuyết,NXB hội nhà văn
624,Ngày thường hà nội,Băng sơn,Hồi ký - Tiểu sử - Tự truyện,Nxb văn học
625,tốc độ của niềm tin,stephen MR Covey,Kỹ năng mềm,nxb trẻ
626,ELLEN Degeneres,Nghiêm túc thì tôi chỉ đùa thôi,Hồi ký - Tiểu sử - Tự truyện,NXB Thế Giới
627,Nghĩ về thăng long hà nội,Hội khoa học lịch sử tp HCM,Lịch sử - Địa lý,Nxb Trẻ
628,Sự bình yên trong tâm hồn,Cẩm tiên,Tâm lý - Giáo dục,NXB Văn hóa thông tin
629,Đô-la Hay Lá Nho?Lột Trần Cô Nàng Kinh Tế Học,Charles Wheelan,Kinh tế - Quản trị,NXB Lao Động - Xã Hội
630,Sống bằng cả trái tim,Nguyễn Văn Như,Tâm lý - Giáo dục,NXB Thế giới
631,Leo núi phú sĩ,Trần quân ngọc,Hồi ký - Tiểu sử - Tự truyện,Nxb văn học
632,Quy tắc của sự thanh lịch,Emiko Kato,Kỹ năng mềm,NXB Thế giới
633,Nếu tôi biết được khi còn 20 ,Tina Seelig ,Kinh tế - Quản trị,NXB trẻ
634,Thiền khí tâm,Master Sridevi Tố Hải,Triết học - Tôn giáo - Tâm linh,NXN phụ nữ
635,Sushi cho người Mới Bắt Đầu,Marian Keyes,Văn học - Tiểu thuyết,NXB Hội nhà văn
636,Văn Minh Làm Giàu & Nguồn Gốc Của Cải,TS. Vương Quân Hoàng,Kinh tế - Quản trị,NXB Chính Trị Quốc Gia
637,Chiến thắng con quỷ trong bạn,Napoleon Hill,Tâm lý - Giáo dục,NXB Thái Hà
638,Tín đồ Shopping oanh tạc Manhattan,Sophie Kinsella,Văn học - Tiểu thuyết,NXB Hội nhà văn
639,Project management essential Course,FPT Software ,Học liệu,FPT Software
640,スピードマスター! 漢字検定2級 出題回数別 問題集: Speed Master! Sách bài tập theo số lần ra đề thi Hán tự cấp độ 2,Takahashi Shoten,Ngoại ngữ,Takahashi Shoten
641,"Introduction to Management, Business and Marketing",Management Development Institute of Singapore,Học liệu,MDIS
642,The Discover your True North ,Nick Craig & Bill George & Scott Snook,Học liệu,Wiley
643,ベトナム,池田浩明 (Ikeda Hiroaki),Ngoại ngữ,情報センター出版局
644,Không bao giờ là thất bại tất cả là thử thách,Chung Ju Yung,Hồi ký - Tiểu sử - Tự truyện,NXB thế giới
645,回転する熱帯 (The Spinning Tropics),望月飛鳥 (Aska Mochizuki),Ngoại ngữ,Japan
646,本試験型 漢字検定 1級 試験問題集 (Kiểu đề thi thật - Tuyển tập đề thi Kentei Kanji cấp 1),No,Ngoại ngữ,NXB Thành lập bởi 成美堂出版編集部編 (Ban biên tập Seibido Shuppan)
647,Kanji Kentei 3 kyu [Hinshutsudo Jun] Mondai-shuu (漢字検定 3級 [頻出度順]問題集) (Tuyển tập đề thi Kiểm định Hán tự cấp độ 3),No,Ngoại ngữ,NXB Takahashi Shoten (高橋書店)
648,奇貨,松浦理英子,Ngoại ngữ,新潮社
649,Bản mẫu đề thi Kanken Cấp 2 (本試験型漢字検定2級試験問題集).,No,Ngoại ngữ,No
650,"Kanji Kentei Jun 2-kyu Shutsudai Kaisubetsu Mondai Shu: Speed Master!"" (Bộ đề thi phân loại theo tần suất ra đề Kanji Kentei cấp độ tiền 2: Speed Master!",No,Ngoại ngữ,No
651,CD: Shin Nihongo no Kiso II,N/A,Học liệu,AOTS
652,漢字検定 準1級 試験問題集 2006年版 ,成美堂出版編集部,Ngoại ngữ, 成美堂出版
653,TOEFL ,"Michael A.Pyle, M.A. & Mary Ellen Munoz Page, M.A",Ngoại ngữ,Cliffs
654,Quốc gia khởi nghiệp,Dan Senor & Saul Singer,Kinh tế - Quản trị,NXB Thế Giới
655,Quốc gia khởi nghiệp,Dan Senor & Saul Singer,Kinh tế - Quản trị,NXB Thế Giới
656,Enlarging your vocabulary,NGUYỄN THANH CHƯƠNG,Ngoại ngữ,NXB Trẻ
657,LUẬT TRÍ NÃO,John Medina,Kỹ năng mềm,NXB Lao động - Xã hội
